id,destination_name,latitude,longitude,altitude_m,popularity_score,safety_rating,airport_distance_km,railway_distance_km,major_city_distance_km,budget_min,budget_max,mid_range_min,mid_range_max,luxury_min,luxury_max,min_trip_days,ideal_trip_days,max_trip_days,accessibility_score,destination_text
1,Goa,15.3,73.8,50,9,7,22,35.0,600,1400,2800,3300,6600,10800,26100,2.0,5.0,10,0,"Goa Goa West India North Goa, South Goa Beach Cultural Food Nightlife Wellness Photography Baga Beach Calangute Beach Old Goa Churches Fort Aguada Dudhsagar Falls Spice Plantations Beach hopping Water sports Temple and church visits Ayurveda spas Nightlife River cruise Indo-Portuguese heritage, vibrant nightlife, spice plantations, waterfall excursions Palolem Beach Agonda Beach Arambol Beach Morjim Beach Netravali Lake Tambdi Surla Temple Winter Post-Monsoon Peak Monsoon Solo Couple Family_with_kids Family_with_elderly Friends Romantic sunsets, beach stays, quiet South Goa beaches Nightlife, water sports, party beaches Safe, easy to navigate, lots of hostels and social activities Gentle beaches, resorts with pools and activities Good medical facilities, easy transport, plenty of relaxed sightseeing Very crowded and expensive in Christmas–New Year week; respect dress codes in churches and temples. Excellent seafood, Goan cuisine, beach shacks, many vegetarian and international options. Strong Catholic and Konkani traditions with visible Portuguese architectural influence. Carnival (Feb-Mar), Shigmo, Christmas and New Year celebrations, Feast of St. Francis Xavier. Remove footwear in temples; modest clothing in churches; avoid loud behaviour in residential areas at night. Spices cashews feni handicrafts beachwear. Goan fish curry rice Prawn balchao Pork vindaloo Bebinca Feni Great mix of beaches, nightlife, and heritage; best in winter; monsoon is quiet but very wet. Plastic restrictions on several beaches; support eco-certified operators where possible."
2,Ladakh (Leh),34.16,77.58,3505,9,8,5,420.0,420,1500,3400,3900,7700,10700,22500,4.0,7.0,14,1,"Ladakh (Leh) Ladakh North India Leh, Kargil Adventure Nature Cultural Religious Photography Trekking Leh Palace Shanti Stupa Pangong Tso Nubra Valley Khardung La Tso Moriri Hemis Monastery High-altitude trekking Motorbike touring River rafting (Zanskar) Monastery visits Camping 4x4 road trips High-altitude desert landscapes, monasteries, starry night skies, challenging mountain passes. Turtuk (in Nubra region) Alchi Monastery Hemis National Park Remote villages like Hanle Summer Early Autumn Deep Winter Adventure_seekers Photographers Trekking_enthusiasts Couples Friends High passes, remote valleys, rugged terrain. Dramatic mountains, lakes, night skies. Multiple trekking routes and homestay trails. Risk of altitude sickness; acclimatise 24–48 hours in Leh; some border areas require permits. Local Tibetan and Ladakhi dishes, basic North Indian, limited Western options. Tibetan Buddhist cultural region with monasteries and traditional villages. Hemis Festival, Losar (New Year), various monastery festivals. Remove shoes in monasteries; ask before photographing locals or rituals; avoid loud behaviour. Pashmina shawls Handicrafts Prayer flags Thangka paintings Momos Thukpa Butter tea Skyu Apricot products Spectacular but demanding destination; preparation for altitude and weather is essential. Water is scarce; avoid plastic, use refillable bottles, and respect fragile high-altitude ecosystems."
3,Jaipur,26.9124,75.7873,431,9,8,12,3.0,280,1300,2600,2500,5600,8300,23700,2.0,3.0,4,0,"Jaipur Rajasthan North India Jaipur Heritage Cultural Photography Shopping Food Amer Fort City Palace Hawa Mahal Jantar Mantar Nahargarh Fort Jaigarh Fort Fort tours Guided heritage walks Food walks Shopping in bazaars Light and sound shows Pink city architecture, royal palaces, hilltop forts with city views. Panna Meena ka Kund Albert Hall Museum at night Stone observatory corners at Jantar Mantar Winter Late Autumn Peak Summer (April-June afternoons) Families Couples History_buff First_time_India_traveller Rich Rajput and Mughal architecture and museums. Fort visits, elephant/jeep rides at Amer, easy logistics. Forts and palaces involve stair climbing; hot afternoons in summer. Strong Rajasthani cuisine, sweets, and street food; many vegetarian options. Mix of Rajput royal heritage and vibrant local traditions. Jaipur Literature Festival, Teej, Holi, Diwali. Dress modestly at religious places; bargaining common in bazaars. Handicrafts Block-printed textiles Jewellery Blue pottery Dal Baati Churma Ghewar Kachori Laal Maas (for non-vegetarians) Highly recommended for first-time visitors to India and heritage lovers. Support heritage conservation by using authorised guides and tickets."
4,Varanasi (Kashi),25.3176,82.9739,81,9,7,26,2.0,120,1200,2400,2450,5000,6900,23800,2.0,3.0,4,0,"Varanasi (Kashi) Uttar Pradesh North India Varanasi Religious Spiritual Cultural Photography Dashashwamedh Ghat Kashi Vishwanath Temple Assi Ghat Sarnath Manikarnika Ghat Ganga Aarti Sunrise boat ride Evening Ganga Aarti viewing Temple visits Old city walking tours Sarnath day trip Ancient ghats, ritual bathing, cremation ghats and intense spiritual atmosphere. Less crowded ghats upriver Small akharas and ashrams Quiet lanes behind ghats Winter Early Spring Peak Summer (heat) Days of very high river levels in heavy monsoon Pilgrims Spiritual_seekers Photographers Culture_lovers Major Hindu tirtha with many temples and ghats. Vivid scenes of daily ritual life along the river. Crowds around main ghats and temple; strong sights and smells at cremation ghats; respect photography restrictions. Famous for vegetarian food, sweets, chaat and lassi; mostly budget-friendly. One of the oldest continuously inhabited cities, with deep ritual and philosophical traditions. Dev Deepawali, important Hindu festivals, and frequent local melas. Dress modestly; remove shoes in temples; do not photograph cremations without explicit permission. Banarasi silk sarees Brassware Rudraksha and religious items Kachori-sabzi Banarasi paan Lassi Street chaat Intense but unforgettable experience; spiritual and photogenic but can feel overwhelming. River-cleaning and ghat conservation underway; support operators who follow waste and pollution norms."
5,Agra,27.1767,78.0081,171,10,8,7,3.0,220,1400,2800,2800,5900,7000,24800,1.0,2.0,3,0,Agra Uttar Pradesh North India Agra Heritage Photography Short_break Taj Mahal Agra Fort Mehtab Bagh Itmad-ud-Daulah (Baby Taj) Sunrise Taj Mahal visit Fort tours Yamuna riverside views Heritage walks World-famous Taj Mahal views at sunrise and sunset. Mehtab Bagh at sunset Less-known viewpoints along Yamuna Winter Late Autumn Hottest summer weeks First_time_visitors Heritage_lovers Day_trip_from_Delhi Iconic UNESCO site and easy logistics. Highway and express train connections. Closed on some specific days for maintenance or official events; check Taj Mahal timings and ticket rules. North Indian cuisine with many budget and mid-range restaurants. Mughal heritage city with strong tourism orientation. Taj Mahotsav cultural festival and standard Indian festivals. Security checks at monuments; certain items not allowed inside Taj premises. Marble handicrafts Inlay work Leather goods Petha sweets Mughlai dishes Must-see for Taj Mahal; most visitors stay 1–2 nights. Air-quality measures and traffic restrictions near Taj to protect the monument.
6,Udaipur,24.5854,73.7125,598,8,8,22,2.0,260,1400,2700,2550,5700,8000,25300,2.0,3.0,4,1,"Udaipur Rajasthan West India Udaipur Heritage Romantic Photography City Palace Lake Pichola Jag Mandir Jagdish Temple Fateh Sagar Lake Boat rides Palace tours Sunset viewpoints Heritage walks Lake city views, palace hotels and narrow old lanes. Monsoon Palace (Sajjangarh) Lesser-known ghats on Lake Pichola Winter Autumn Peak summer afternoons Couples Families Heritage_lovers Romantic lakeside atmosphere and sunset boat rides. Palaces, temples, traditional markets. Hilly old city lanes; steep steps at some viewpoints. Rajasthani and North Indian cuisine, lakeside cafes and rooftop restaurants. Mewar royal heritage with strong traditions and festivals. Mewar Festival, Shilpgram fair, Holi, Diwali. Standard temple etiquette and modest dressing. Miniature paintings Handicrafts Textiles Jewellery Dal Baati Churma Mirchi vada Mawa kachori Popular romantic and heritage city with scenic lakes. Respect lake cleanliness and avoid littering on ghats."
7,Kerala Backwaters (Alappuzha & Kumarakom),9.4981,76.3388,1,9,8,83,5.0,60,1550,3200,3200,6800,8200,25300,1.0,2.0,4,1,"Kerala Backwaters (Alappuzha & Kumarakom) Kerala South India Alappuzha, Kottayam Nature Wellness Relaxation Family Vembanad Lake Houseboat cruises Alleppey canals Kumarakom Bird Sanctuary Houseboat overnight stay Canoe rides Village walks Bird watching Sleeping on a houseboat, passing through narrow canals and village life by the water. Smaller village-based homestays Sunrise canoe rides in narrow canals Winter Post-Monsoon Peak Monsoon for houseboats if heavy rain Couples Families Relaxation_seekers Romantic houseboat stays and sunsets. Safe, slow-paced cruises with full-board options. Check safety and operator licences for houseboats; mosquitoes at dusk; humidity high. Kerala cuisine with fresh fish and coconut-based dishes, often included in houseboat packages. Traditional Keralite coastal and backwater lifestyle. Nehru Trophy Boat Race (Alleppey), Onam celebrations. Respect local village privacy and dress modestly. Coir products Spices Coconut-based products Karimeen pollichathu Meen curry Appam with stew Very relaxing and scenic; houseboat quality varies by operator. Choose operators with waste-management practices to reduce water pollution."
8,Coorg (Kodagu),12.3375,75.8069,1150,7,8,120,100.0,260,1450,2800,2600,5200,7000,19400,2.0,3.0,4,1,"Coorg (Kodagu) Karnataka South India Kodagu Nature Coffee_estates Family Short_break Coffee plantations Abbey Falls Raja's Seat Dubare Elephant Camp Talakaveri Plantation walks Short treks Elephant interaction (check ethics) Scooter/jeep tours Staying in coffee estate homestays and misty hills. Smaller private waterfalls (with permission) Interior village trails Winter Post-Monsoon Peak monsoon for trekking (slippery) Families Couples Nature_lovers Green hills, waterfalls and estate stays. Easy walks, scenic viewpoints and relaxed town. Leeches on forest trails in monsoon; winding roads may affect motion-sensitive travellers. Coorgi cuisine, South Indian meals, and homely food at homestays. Distinct Kodava warrior culture with unique festivals and dress. Kailpodh, Puthari harvest festival. Respect private estate boundaries; ask before entering plantation trails. Coffee Spices Homemade chocolates Pandi curry (pork) Kadumbuttu (rice dumplings) Noolputtu Popular long-weekend destination from Bengaluru; peaceful and green. Support low-impact estate stays and avoid litter on nature trails."
9,Ziro Valley,27.5947,93.8385,1500,5,8,120,100.0,110,1450,2800,2600,5000,4900,11200,3.0,4.0,6,2,"Ziro Valley Arunachal Pradesh Northeast India Lower Subansiri Culture Nature Offbeat Festival Rice fields and pine hills Apatani tribal villages Ziro Music Festival (annual) Village walks Cultural immersion Short hikes Music festival attendance Experiencing Apatani culture and staying in homestays in a high valley. Smaller village trails Local bamboo bridges Farmer-led experiences Autumn (for festival) Winter (cool, dry) Spring Peak monsoon due to heavy rain and road issues Offbeat_travellers Culture_seekers Backpackers Relatively few visitors and immersive experiences. Unique Apatani culture and architecture. Permits required for Arunachal; limited ATM and network availability; modest infrastructure. Simple local food with rice, vegetables and meat; limited restaurant variety. Apatani tribe with distinctive farming and social customs. Ziro Music Festival; local agricultural and religious festivals. Ask before photographing people; respect village rules and privacy. Local handicrafts Bamboo and cane work Local rice beer (for those who drink) Apatani smoked meat and vegetable dishes Peaceful, culturally rich and remote; journey can be long but worthwhile. Culturally sensitive tourism is crucial to avoid disrupting traditional lifestyles."
10,Mawlynnong & nearby (including Living Root Bridges region),25.2016,91.9193,1500,6,8,90,120.0,80,1450,2800,2600,5000,4900,11200,1.0,2.0,3,1,"Mawlynnong & nearby (including Living Root Bridges region) Meghalaya Northeast India East Khasi Hills Nature Eco_tourism Offbeat Short_break Mawlynnong village (promoted as very clean) Nearby living root bridges Skywalk viewpoints over Bangladesh plains Village walks Short treks Viewpoint climbs Nature photography Experiencing well-maintained village environment and traditional Khasi architecture. Less-visited root bridges Quiet walking paths around the village Winter Autumn Spring Heaviest monsoon weeks for road safety Families Nature_lovers Eco_travellers Road_trip_planners Lush greenery, forest trails, valley views. Village cleanliness and community-led tourism. Accommodation mostly simple homestays; roads can be foggy and slippery in rain. Simple local Khasi and basic Indian dishes, often in homestays. Khasi matrilineal society with strong village-level organisation. Local Khasi festivals and church gatherings. Respect village cleanliness norms; use designated bins and avoid plastic. Local bamboo handicrafts (limited scale) Simple souvenirs Jadoh (rice and meat dish where available) Local snacks and tea Charming and tidy village with nice views; can get day-trip crowds from Shillong. Village-led cleanliness and waste management are key attractions; visitors should follow rules strictly."
